x y z rvir redshift log_sSFR color
-0.09137 0.03737 0.62374 0.00102 0.02107 -12.59 red
-0.10783 0.04682 0.71490 0.00174 0.02411 -11.19 blue
-0.08622 0.03319 0.56985 0.00115 0.01928 -11.35 blue
-0.11198 0.04402 0.70810 0.00984 0.02391 -10.95 blue
-0.10568 0.04230 0.65036 0.00140 0.02201 -10.97 blue
-0.09299 0.03689 0.58115 0.00127 0.01969 -10.74 blue
-0.09392 0.03707 0.57121 0.00101 0.01937 -10.85 blue
-0.10920 0.04004 0.62424 0.00187 0.02118 -11.03 blue
-0.11055 0.04411 0.67115 0.00111 0.02271 -12.82 red
-0.11148 0.03136 0.79717 0.00128 0.02676 3.53 blue
-0.08066 0.01948 0.60776 0.00158 0.02047 -11.25 blue
-0.11045 0.03877 0.62739 0.00116 0.02129 -10.78 blue
-0.11772 0.01841 0.64100 0.00165 0.02174 -10.08 blue
-0.10307 0.04116 0.71807 0.00105 0.02418 4.05 blue
-0.11563 0.04104 0.74970 0.00136 0.02526 -10.66 blue
-0.11647 0.05102 0.75469 0.00127 0.02545 -12.58 red
-0.18639 0.07685 0.69285 0.00104 0.02402 -9.92 blue
-0.08644 0.03563 0.56193 0.00127 0.01903 -10.69 blue
-0.12435 0.05376 0.79160 0.00131 0.02668 -13.06 red
-0.10628 0.04211 0.67291 0.00339 0.02274 -9.41 blue
-0.11459 0.03888 0.61584 0.00144 0.02094 -10.17 blue
-0.12025 0.04894 0.75623 0.00119 0.02551 -13.08 red
-0.14247 0.04259 0.74555 0.00146 0.02528 -11.54 red
-0.11777 0.03544 0.76478 0.00122 0.02575 -11.23 blue
-0.12264 0.04352 0.81759 0.00592 0.02749 -11.47 blue
-0.25916 0.03653 0.78205 0.00143 0.02738 -11.91 red
-0.12261 0.04860 0.75639 0.00143 0.02553 -9.81 blue
-0.17881 0.04128 0.71207 0.00114 0.02447 -9.59 blue
-0.24911 0.09263 0.77140 0.00107 0.02710 4.30 blue
-0.10812 0.04956 0.59473 0.00160 0.02024 -9.00 blue
-0.20475 0.02196 0.73916 0.00097 0.02551 -10.14 blue
-0.22359 0.03768 0.72863 0.00179 0.02537 -10.06 blue
-0.09659 0.03696 0.60998 0.00090 0.02064 -9.65 blue
-0.22915 0.04961 0.73431 0.00093 0.02563 -9.58 blue
0.18170 0.02190 0.77563 0.00109 0.02648 -9.92 blue
-0.26537 0.04438 0.75173 0.00106 0.02653 -9.84 blue
-0.15605 0.01044 0.70952 0.00215 0.02418 -9.97 blue
-0.13520 0.01464 0.71714 0.00113 0.02429 nan blue
-0.21702 -0.07208 0.64210 0.00251 0.02271 nan blue
-0.21164 0.06593 0.53218 0.00099 0.01926 -9.62 blue
-0.12276 0.04575 0.63700 0.00251 0.02168 -11.41 blue
-0.13744 0.06097 0.74418 0.00112 0.02525 4.43 blue
-0.13408 0.05547 0.76164 0.00158 0.02577 -11.48 blue
-0.12519 0.06762 0.69525 0.00139 0.02363 -11.23 blue
0.00689 -0.01049 0.67813 0.00161 0.02260 nan blue
-0.11687 0.04292 0.73507 0.00077 0.02480 -9.02 blue
-0.12332 0.06408 0.67633 0.00132 0.02300 -9.83 blue
-0.10065 0.04396 0.58531 0.00120 0.01988 3.90 blue
-0.11853 0.05050 0.69609 0.00114 0.02357 -10.93 blue
-0.10213 0.06180 0.71424 0.00092 0.02410 -10.13 blue
0.19637 0.04149 0.78268 0.00139 0.02684 -10.51 blue
0.05811 0.05201 0.63297 0.00109 0.02127 -9.57 blue
-0.12940 0.05718 0.70255 0.00095 0.02386 nan blue
0.13923 0.02340 0.60727 0.00097 0.02080 -8.72 blue
-0.20744 -0.04794 0.61927 0.00096 0.02183 -8.73 blue
0.14138 0.04778 0.69801 0.00095 0.02376 -9.88 blue
0.14994 0.07261 0.71503 0.00142 0.02443 -12.40 red
0.16389 0.08184 0.81266 0.00123 0.02765 -9.96 blue
0.04013 0.03598 0.77786 0.00112 0.02592 -10.63 blue
0.14689 0.04688 0.71147 0.00093 0.02423 -8.88 blue
0.12908 0.04931 0.70052 0.00126 0.02377 -9.73 blue
0.02236 0.05299 0.65797 0.00096 0.02202 -10.18 blue
0.16378 0.02208 0.62299 0.00140 0.02149 -9.34 blue
0.15690 -0.02818 0.62571 0.00086 0.02153 -10.29 blue
0.04058 0.05015 0.82083 0.00300 0.02734 -10.97 blue
0.14242 0.04991 0.60779 0.00098 0.02089 -9.63 blue
0.18913 0.04024 0.77229 0.00132 0.02645 -10.84 blue
0.00403 0.02120 0.74992 0.00116 0.02495 -9.69 blue
-0.12198 0.05602 0.65860 0.00053 0.02240 -8.32 blue
0.12989 0.05428 0.65714 0.00100 0.02240 -9.76 blue
-0.00115 0.04915 0.80717 0.00107 0.02686 4.25 blue
0.09578 0.01993 0.60683 0.00104 0.02051 -9.44 blue
-0.00245 0.04867 0.79724 0.00112 0.02654 -9.65 blue
0.05945 0.06248 0.67490 0.00153 0.02267 -9.88 blue
0.13389 0.06095 0.66077 0.00122 0.02256 -9.48 blue
-0.00366 0.04826 0.76501 0.00184 0.02549 -12.10 red
-0.00719 0.04754 0.82452 0.00172 0.02742 -10.91 blue
-0.02322 0.03611 0.69429 0.00090 0.02317 -10.61 blue
-0.12745 0.04709 0.80150 0.00088 0.02700 -9.60 blue
-0.11908 0.04183 0.74721 0.00092 0.02520 -13.44 red
0.12433 0.04512 0.68546 0.00273 0.02325 -10.93 blue
0.05405 0.02186 0.66871 0.00096 0.02237 -11.70 red
