NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color
671879 194.297473 29.045066 0.02496 10.79 0.79 0.00 2.98647 -10.89 red
427659 193.934615 28.754655 0.02747 9.27 0.44 0.00 1.04547 -9.63 blue
427761 195.601522 29.451570 0.02601 9.34 32985548120291.94 -99.00 1.07234 4.18 blue
630664 207.326358 24.096848 0.02100 9.51 1.68 0.00 1.14309 -9.28 blue
630665 207.353058 24.758013 0.02754 8.78 0.08 0.00 0.88304 -9.86 blue
629363 193.405803 27.615155 0.02359 10.37 -2318921798648484.50 -99.00 1.74582 nan blue
629579 194.815733 27.886288 0.02174 8.32 -1945828473287966.00 -99.00 0.75794 nan blue
629586 194.827421 28.282156 0.02340 8.81 0.31 0.00 0.89204 -9.32 blue
426953 197.287434 28.892512 0.02477 10.10 0.08 0.00 1.47197 -11.19 red
427003 196.808634 28.258255 0.02137 8.94 0.12 0.00 0.93410 -9.87 blue
427114 197.109858 29.754500 0.02301 8.86 0.24 0.00 0.90880 -9.49 blue
427497 196.054750 28.542405 0.02707 8.85 0.28 0.00 0.90371 -9.41 blue
427546 195.217020 28.366126 0.02548 10.81 0.50 0.00 3.10645 -11.11 red
629815 196.382480 29.093941 0.02370 7.85 0.62 0.00 0.64935 -8.06 blue
427593 194.898641 28.551376 0.02530 10.27 0.07 0.00 1.62635 -11.42 red
427701 194.213389 29.378187 0.02385 10.14 0.07 0.00 1.50054 -11.31 red
629589 194.831915 28.274049 0.01930 8.19 0.13 0.00 0.72799 -9.08 blue
629590 194.847344 27.911610 0.02293 10.81 1.42 0.00 3.09365 -10.65 red
472727 166.332093 27.239514 0.02736 9.23 0.67 0.00 1.02913 -9.41 blue
629596 194.864063 28.275888 0.01900 8.26 2.38 0.00 0.74492 -7.88 blue
629598 194.871976 27.806907 0.02238 8.96 0.00 0.00 0.93844 -12.85 red
657960 167.231959 26.610434 0.02192 10.68 2.44 0.00 2.48287 -10.29 blue
474855 172.690302 28.167570 0.02232 8.87 0.32 0.00 0.91225 -9.37 blue
425003 200.670243 29.342123 0.02380 9.16 0.09 0.00 1.00511 -10.22 blue
473761 169.441475 25.558960 0.02620 9.36 0.44 0.00 1.07772 -9.71 blue
473768 169.727393 26.143728 0.02679 9.79 1.22 0.00 1.27348 -9.71 blue
474017 168.704864 27.236289 0.02713 9.18 0.98 0.00 1.01255 -9.19 blue
628726 189.875988 18.368085 0.02228 9.87 1.86 0.00 1.31872 -9.60 blue
474748 170.634604 27.582414 0.02120 8.61 0.32 0.00 0.83691 -9.11 blue
474423 169.465260 29.269117 0.02398 9.52 0.11 0.00 1.14511 -10.49 blue
474594 170.723809 26.604890 0.02001 9.27 0.41 0.00 1.04654 -9.65 blue
426922 197.487063 28.558229 0.02304 9.30 0.59 0.00 1.05784 -9.53 blue
426925 197.347603 28.281450 0.02085 9.99 0.08 0.00 1.39575 -11.07 red
426951 197.213524 29.169805 0.02620 8.90 0.21 0.00 0.91912 -9.59 blue
629602 194.876034 28.021299 0.02390 9.33 1.92 0.00 1.06945 -9.05 blue
475671 173.104864 28.228477 0.02346 9.08 0.27 0.00 0.98041 -9.66 blue
427516 195.546481 28.456559 0.02048 9.40 0.00 0.00 1.09985 -11.93 red
427536 195.390015 29.130594 0.02453 10.91 0.56 0.00 3.79196 -11.17 red
477027 176.817863 26.834038 0.02118 8.69 0.35 0.00 0.85984 -9.15 blue
630689 207.543256 18.268698 0.02598 8.64 3.61 0.00 0.84090 -8.08 blue
475845 175.601383 29.090461 0.02261 9.33 0.79 0.00 1.06826 -9.43 blue
627992 183.973928 23.946505 0.02228 9.99 0.32 0.00 1.39636 -10.49 blue
477508 180.602423 29.376571 0.02764 9.60 0.79 0.00 1.17983 -9.71 blue
629606 194.885473 27.851261 0.02730 6.58 -3139746679132035.00 -99.00 0.42851 nan blue
629609 194.891580 27.907068 0.02270 6.87 -2110876214550863.00 -99.00 0.47260 nan blue
418484 203.676415 27.572659 0.02643 9.69 1.03 0.00 1.22225 -9.68 blue
478037 180.839879 28.369965 0.02694 8.97 0.79 0.00 0.94200 -9.07 blue
477942 179.263875 28.215507 0.02712 10.15 0.44 0.00 1.50956 -10.51 red
676393 204.085119 28.797410 0.02676 9.57 0.20 0.00 1.16752 -10.27 blue
478072 181.381033 28.127481 0.02720 9.74 0.86 0.00 1.24629 -9.81 blue
478312 181.703955 27.908640 0.02619 9.32 0.49 0.00 1.06191 -9.63 blue
478815 182.610405 26.367463 0.02638 9.67 1.06 0.00 1.21035 -9.64 blue
477990 179.913401 28.165032 0.02719 10.34 0.56 0.00 1.70192 -10.59 red
479098 184.006511 28.741562 0.02644 9.06 0.42 0.00 0.96997 -9.43 blue
479109 184.550537 29.251708 0.02546 9.73 1.18 0.00 1.24378 -9.66 blue
629613 194.900253 27.804644 0.02110 8.81 0.30 0.00 0.89344 -9.34 blue
630903 209.525502 28.422681 0.02684 10.24 3.72 0.00 1.58750 -9.67 blue
630461 204.083340 18.158192 0.02362 9.54 1.57 0.00 1.15623 -9.35 blue
665878 182.576060 26.430715 0.02176 10.98 8.66 0.00 4.32650 -10.04 blue
479691 184.793150 28.556905 0.02636 10.42 2.39 0.00 1.81773 -10.04 blue
479177 183.504850 28.707134 0.02591 9.05 0.15 0.00 0.96768 -9.87 blue
426917 197.898608 29.062996 0.02426 9.28 0.07 0.00 1.05004 -10.41 blue
667322 185.504076 28.431101 0.02723 10.62 0.01 1.00 2.26269 -12.77 red
668030 187.247163 28.861953 0.02673 10.14 3.66 0.00 1.50387 -9.58 blue
666516 183.980376 26.662093 0.02555 10.20 8.17 0.00 1.55248 -9.29 blue
480717 186.356506 29.738462 0.02698 9.79 0.39 0.00 1.27041 -10.19 blue
480892 188.882963 26.451068 0.02072 9.52 0.01 0.00 1.14925 -11.40 red
427561 194.912976 28.895517 0.02039 10.67 0.32 0.00 2.46589 -11.17 red
427685 194.077067 29.807789 0.02337 10.34 0.01 1.00 1.71089 -12.40 red
480409 184.785088 27.762359 0.02644 9.76 0.12 0.00 1.25825 -10.68 red
629825 196.471187 27.552077 0.01888 10.02 0.10 0.00 1.41475 -11.01 red
480946 188.749417 26.884107 0.02533 9.70 0.00 1.00 1.23011 -12.95 red
480948 187.938765 27.149464 0.02329 8.85 0.07 0.00 0.90595 -10.00 blue
481309 188.918771 26.642947 0.02000 10.23 0.14 0.00 1.58375 -11.09 red
481376 189.439756 27.930625 0.02388 8.41 0.16 0.00 0.78127 -9.21 blue
481383 189.313736 27.533645 0.02442 9.29 0.29 0.00 1.05408 -9.83 blue
629615 194.900356 29.272037 0.02720 8.48 0.06 0.00 0.79725 -9.70 blue
629616 194.904178 28.018605 0.02433 8.85 0.09 0.00 0.90563 -9.90 blue
481219 190.885744 27.297475 0.01949 9.02 1.06 0.00 0.96196 -9.00 blue
480927 188.978329 26.818670 0.02388 9.46 59829406153574.42 -99.00 1.11994 4.32 blue
481693 193.073836 27.085552 0.02098 10.20 0.36 0.00 1.55780 -10.64 red
481262 189.361598 27.203256 0.02564 8.89 0.01 0.00 0.91593 -10.84 red
481311 188.805398 26.495999 0.02072 9.23 0.00 1.00 1.03202 -12.77 red
481345 188.307163 27.584076 0.02434 9.37 0.41 0.00 1.08576 -9.77 blue
481228 190.107793 26.732084 0.02257 9.94 0.11 0.00 1.36375 -10.92 red
481254 189.772743 26.914330 0.02390 9.25 0.03 1.00 1.03803 -10.82 red
481887 190.725224 27.775053 0.02478 8.68 0.04 0.00 0.85438 -10.12 blue
481950 191.868227 27.457786 0.02209 10.50 0.02 1.00 1.96989 -12.26 red
481691 192.984622 27.088412 0.02651 9.69 0.01 0.00 1.22088 -11.75 red
481557 189.209351 29.555362 0.02607 8.77 0.17 0.00 0.88013 -9.54 blue
481863 190.242027 27.981208 0.02429 10.15 0.27 0.00 1.50759 -10.72 red
481934 191.544858 27.937787 0.02307 10.13 0.24 0.00 1.49871 -10.75 red
481619 189.705955 29.972547 0.02328 8.65 0.00 1.00 0.84591 -11.04 red
482419 194.834591 27.435240 0.02567 9.27 0.05 0.00 1.04366 -10.59 red
482523 193.347815 27.513003 0.02382 9.06 16304576396646.99 -99.00 0.97127 4.15 blue
481774 192.255919 27.178579 0.01966 9.49 0.02 1.00 1.13596 -11.13 red
481836 190.688096 27.117526 0.02190 10.41 0.73 0.00 1.81051 -10.55 red
671869 194.270331 27.677306 0.02609 9.27 0.01 0.00 1.04420 -11.23 red
482753 194.978613 27.795999 0.02751 9.78 0.39 0.00 1.26924 -10.20 blue
482789 195.115243 27.625197 0.01959 9.37 0.00 1.00 1.08518 -12.95 red
482813 196.438214 27.315430 0.02113 9.32 20134471611860.41 -99.00 1.06486 3.99 blue
482827 195.079596 27.553716 0.01964 10.15 0.01 1.00 1.51573 -12.28 red
482861 194.520146 26.370583 0.02317 9.64 0.09 0.00 1.19856 -10.69 red
