NSAID smallestImpact
87675 2542.3
87362 549.3
73342 2595.1
59169 5190.7
57712 3341.0
87412 3442.4
85498 4356.0
682722 3105.2
88024 3074.9
88028 3447.6
87626 2862.2
85617 1677.8
87633 3707.7
88129 420.9
87923 1099.7
87943 1079.4
83527 2770.7
88017 2911.3
61912 3686.4
60194 7447.6
85956 3466.1
88216 3640.5
81581 4801.2
81640 5197.1
83997 3535.0
74715 5312.5
91052 1665.4
84414 4900.1
87234 3128.3
84934 9384.3
49392 5767.7
47515 132.5
85809 1374.8
49541 764.3
87407 3545.1
85302 5100.9
47767 2588.5
57646 7176.0
85982 3252.7
84134 4147.8
88073 2764.8
657619 2130.7
656667 1192.1
88440 4994.2
86193 2745.7
58259 3576.3
50410 5186.7
94327 5605.6
648328 9160.5
60477 7652.5
84652 6296.8
93129 2660.2
58488 3369.5
94544 2022.0
58712 7052.8
648425 5182.3
93354 2070.0
87157 3481.2
86818 186.0
87304 1864.0
51656 6062.5
87178 3603.1
681400 3132.4
87001 2841.3
92642 11652.4
87454 2676.2
682711 3024.4
51844 4634.3
87606 3241.4
87548 2840.5
58383 1551.3
87735 952.8
87669 2996.8
78081 6121.4
87866 3263.8
60281 7404.2
85367 2620.9
87998 2334.9
87954 1214.4
87582 3039.3
86649 910.2
85550 2716.2
98075 10792.0
88229 4239.4
85691 1952.0
88360 3427.7
64343 1813.3
93170 1752.9
60011 5012.5
87254 1485.2
86065 2316.7
57831 3777.8
87553 2408.5
87690 3157.8
87712 2328.8
59560 3954.3
64797 2241.2
60848 8564.4
93085 3775.5
51946 4154.9
89727 1713.4
98374 7546.3
52304 3026.1
88021 3440.2
88167 1328.3
98679 7611.9
52790 1979.7
97889 9629.8
79910 3283.5
94232 3374.1
94292 5216.8
87608 3001.3
58397 1659.1
87846 3542.0
87853 4236.1
87891 1332.9
87979 1891.2
97952 10164.3
88019 3116.2
98793 9441.5
58882 6645.2
61803 5589.0
80411 2147.1
88208 4501.9
88395 3756.6
98063 10187.8
59554 3518.1
98104 9168.2
646821 7175.4
625987 3593.5
59518 691.0
60625 10267.3
98897 12287.0
46503 7443.9
66601 1004.0
66840 485.0
46665 3067.3
93868 4314.2
99921 5877.0
66705 3831.8
65751 4031.6
100650 1840.8
64395 2809.1
95419 1795.1
99937 5365.6
56993 7069.9
101460 3098.0
100097 7216.1
97996 10889.3
64352 1952.3
51139 6069.6
64912 3037.8
99810 11886.9
67516 4444.3
99946 5856.4
82710 3946.3
82776 3375.5
98678 7829.4
64348 2616.2
64350 1618.8
47601 1324.8
67930 3370.1
665430 4249.5
94338 5790.4
99536 8738.4
83566 2052.6
93770 2695.5
68007 4588.2
68040 4410.3
58201 3017.5
65392 6672.8
56204 4600.6
66225 1242.0
95297 2266.9
94299 5407.9
97891 9789.5
67625 4034.4
97329 8181.7
98112 10408.4
68006 5145.3
97763 5506.0
57271 5700.6
68873 1746.2
665211 3844.6
65734 3605.1
18403 6217.1
85576 1445.0
69521 3511.0
56803 6871.2
85962 3048.8
67528 4207.5
68589 1449.9
67547 3919.5
68017 4135.6
68953 2978.1
18414 7095.9
69114 729.8
70131 5379.9
67428 5213.1
98742 6175.6
66702 3982.4
99107 7917.3
66659 2631.4
68669 1786.2
68695 1989.3
67890 5848.4
67330 5693.0
47888 3699.8
64052 4487.4
87579 1884.4
67519 3931.3
100201 8412.7
87692 2934.7
100262 7889.9
627701 4008.2
67584 3190.0
87723 1826.4
100327 9619.7
68029 4593.3
71012 7311.7
98686 6529.9
68075 3900.5
648610 1731.6
99001 10413.0
87969 1203.6
88045 3213.1
99050 9559.7
58509 6806.4
67993 4639.0
71575 4287.1
68020 4863.2
665232 4955.9
68132 5488.0
68086 4438.6
68725 2069.4
68361 1697.8
71651 5402.8
71082 5434.3
57871 5487.6
100107 7712.9
68641 1634.8
670857 3708.4
70323 2765.1
71740 5621.3
677538 3850.5
57269 5739.2
72003 3761.6
70720 3819.6
70685 3709.9
70875 3954.9
70819 3444.0
71091 4269.5
60153 6867.5
698187 5229.0
71825 4375.9
60526 9876.9
60657 10148.2
72954 2375.5
73014 589.1
73249 4093.3
73382 3544.9
73393 3053.9
73399 3236.3
73547 2629.3
70793 2867.0
73812 1936.3
66097 2458.4
73445 4906.1
72740 1913.2
73496 602.3
72903 3286.7
59736 2123.6
73115 2330.4
71782 4665.4
73367 3213.4
66517 3730.2
73372 3007.5
74379 5170.1
57993 2517.2
71462 8688.5
73757 3554.0
629249 4550.8
70032 4552.4
61389 1733.6
71781 5334.9
71901 3865.7
74349 3510.1
66902 3261.3
75362 15855.4
74373 4090.1
71532 6570.5
59004 8183.0
60463 8301.2
49354 5761.6
675620 2844.3
72578 4187.9
92995 2272.1
73183 4092.5
71490 5863.4
73401 3231.8
67572 3845.3
71569 5572.9
67872 4761.9
67994 4694.0
73861 3232.2
68069 4501.2
72980 2200.1
68076 3821.9
73887 3055.0
68080 3742.1
68092 4380.7
630464 4572.9
60365 8119.8
68706 2249.4
673945 13818.4
69545 3931.6
74369 2765.1
77189 4485.9
68943 2492.3
74726 5067.2
73112 2234.7
71802 4111.3
77168 4926.8
64347 2767.3
64438 2321.3
72572 3853.9
77883 7739.1
74734 5371.0
73350 3094.4
73394 3372.5
73307 2962.9
65498 4704.8
676669 3171.6
62917 8943.7
671904 1703.1
79493 2884.4
73815 2146.2
73977 2249.4
682233 2361.6
73991 2502.3
76263 5423.2
70902 4447.0
76462 5973.0
74749 4769.2
680601 4526.8
74486 2150.2
622194 4604.2
79105 4455.5
64355 2751.4
73933 2579.3
