NSAID x y z rvir redshift log_sSFR color
8728 -0.08227 -0.27986 0.61239 1.04514 0.02260 -9.65 blue
6111 0.09965 -0.28783 0.59862 0.88587 0.02238 -9.99 blue
659115 0.15555 -0.30671 0.66532 1.34394 0.02491 -9.69 blue
7610 -0.00303 -0.24171 0.53704 1.17973 0.01967 -9.73 blue
5451 0.14092 -0.27728 0.62377 0.86555 0.02321 -9.48 blue
5880 0.09945 -0.24063 0.53704 0.95170 0.01993 -9.91 blue
8476 -0.06990 -0.26844 0.59408 1.01017 0.02186 -11.39 red
5922 0.09827 -0.23979 0.53760 0.76951 0.01992 -10.08 blue
5211 0.14677 -0.29825 0.65565 1.27223 0.02446 -10.31 blue
5970 0.11627 -0.30729 0.68837 1.27598 0.02536 -11.11 red
6280 0.07009 -0.24493 0.52979 1.07191 0.01963 -9.74 blue
6271 0.09575 -0.33448 0.73043 1.27829 0.02687 -10.40 blue
5365 0.15163 -0.31561 0.67635 1.23244 0.02533 -9.73 blue
6135 0.12520 -0.33441 0.69781 0.99658 0.02605 -10.63 red
7720 -0.02343 -0.26819 0.56406 1.08947 0.02085 -10.30 blue
7644 -0.00732 -0.30561 0.69214 0.95384 0.02516 -9.96 blue
697087 0.13573 -0.31889 0.67590 1.12022 0.02526 -9.75 blue
5777 0.14117 -0.33722 0.70216 1.41483 0.02630 -10.35 blue
6069 0.08842 -0.28378 0.59682 0.76288 0.02222 -9.54 blue
661599 0.08043 -0.24864 0.51687 1.13618 0.01934 -9.99 blue
6103 0.11869 -0.33933 0.69935 1.97861 0.02613 -11.08 red
5783 0.13679 -0.30433 0.64548 0.84013 0.02418 -9.16 blue
8766 -0.09496 -0.28230 0.61649 1.55857 0.02281 -12.99 red
7850 -0.01116 -0.24826 0.55873 2.97466 0.02041 -12.41 red
6803 0.04560 -0.24056 0.51813 0.84284 0.01914 -9.51 blue
7825 -0.00976 -0.24483 0.55247 1.23734 0.02017 -10.17 blue
6694 0.04841 -0.33701 0.71729 1.04731 0.02638 -9.64 blue
8136 -0.02473 -0.26165 0.57340 2.03269 0.02104 -10.35 blue
8381 -0.06036 -0.32081 0.73037 1.47300 0.02658 -9.90 blue
664980 0.01324 -0.26836 0.55025 1.82692 0.02044 -10.78 red
6005 0.07668 -0.28084 0.59294 0.97915 0.02202 -9.15 blue
7007 0.01465 -0.26806 0.55829 1.96996 0.02067 -10.59 red
8237 -0.05305 -0.29301 0.65922 1.05879 0.02408 -9.56 blue
6859 0.04632 -0.30405 0.68443 0.94530 0.02496 -9.43 blue
7045 0.02141 -0.27482 0.57735 2.35811 0.02134 -10.26 blue
5873 0.14001 -0.31805 0.69842 1.24011 0.02593 -9.88 blue
6017 0.07669 -0.27181 0.55426 1.97333 0.02076 -10.03 blue
6071 0.07593 -0.24898 0.52327 0.85835 0.01952 -11.61 red
6421 0.09267 -0.35534 0.74871 1.20681 0.02768 -9.97 blue
8679 -0.07530 -0.28157 0.63348 1.15016 0.02322 -11.75 red
7642 -0.00774 -0.23968 0.53830 1.55430 0.01968 -10.39 blue
8484 -0.07129 -0.27997 0.62652 1.20155 0.02298 -10.09 blue
8600 -0.08717 -0.29289 0.62370 1.13650 0.02313 -9.72 blue
6996 0.01963 -0.26619 0.54372 1.20012 0.02022 -9.75 blue
8805 -0.09834 -0.28460 0.61587 1.45111 0.02284 -12.93 red
8557 -0.10379 -0.32405 0.68438 0.86604 0.02541 -9.89 blue
6965 0.00828 -0.26130 0.55365 0.90507 0.02043 -9.86 blue
661112 0.08814 -0.23618 0.52797 2.73472 0.01954 -9.74 blue
7498 0.02184 -0.31918 0.70238 1.80158 0.02566 -10.57 red
628488 -0.07320 -0.28373 0.62803 2.95455 0.02308 -10.27 blue
7506 0.00889 -0.24128 0.54966 1.66689 0.02004 -11.82 red
7073 0.02296 -0.27632 0.57861 1.06124 0.02140 -9.89 blue
7500 0.01568 -0.25988 0.56204 1.52033 0.02067 -11.14 red
7429 0.00652 -0.26336 0.55063 1.15880 0.02037 -9.81 blue
8879 -0.11612 -0.30052 0.62626 1.02957 0.02345 -9.81 blue
8788 -0.09908 -0.29205 0.63661 1.09694 0.02355 -12.10 red
8190 -0.03552 -0.26697 0.59134 1.54523 0.02167 -11.13 red
671139 -0.11343 0.09936 0.69884 0.68550 0.02380 nan blue
7342 -0.00357 -0.31197 0.64255 1.00810 0.02378 -9.69 blue
7843 -0.01326 -0.25195 0.56751 1.08120 0.02072 -11.27 red
8996 -0.10883 -0.31049 0.63317 1.26003 0.02375 -11.46 red
664779 0.01977 -0.28056 0.58880 1.45569 0.02176 -10.11 blue
11581 -0.22542 -0.25401 0.53872 1.34932 0.02124 -10.19 blue
7906 -0.01750 -0.25709 0.58467 0.85665 0.02131 -9.64 blue
12822 -0.36910 -0.26244 0.59379 1.02393 0.02484 -9.45 blue
7593 -0.00066 -0.26392 0.56730 0.86854 0.02087 -9.42 blue
7976 -0.04081 -0.28607 0.58172 1.14182 0.02166 -9.71 blue
7567 0.00383 -0.27329 0.58900 0.94217 0.02165 -9.83 blue
7556 0.00549 -0.25642 0.58377 1.26768 0.02127 -10.29 blue
666360 -0.02139 -0.25511 0.56804 1.47570 0.02079 -10.55 red
